,uni_users,user_rating,user_count
0,A0009988MRFQ3TROTQPI,5.0,1.0
1,A0323342BSXB8HUGIF4G,5.0,1.0
2,A05132041L0G3P5ASPHR0,5.0,1.0
3,A05321841W3Y1481UCO7M,5.0,1.0
4,A0759107CA9MPWVRF6VN,5.0,1.0
5,A08354481PDGYSTVRUL43,4.0,1.0
6,A095027036LADWUPZNYIN,5.0,1.0
7,A10098453IQ1QPAWXXJZN,5.0,1.0
8,A101IRO8LXXS9B,3.0,1.0
9,A1020G45ETGTL7,4.0,1.0
10,A1027EV8A9PV1O,5.0,1.0
11,A102KJN3FNZMO2,5.0,1.0
12,A102LIID8BBSK0,5.0,1.0
13,A102V3IEJKT7JC,5.0,1.0
14,A1030XRWM0AV1N,5.0,1.0
15,A10363XVKVFV03,5.0,1.0
16,A1038PSKBEWUFX,4.0,1.0
17,A103IEEZ5YCVRE,5.0,1.0
18,A103MW3IVBQOZ8,5.0,2.0
19,A104095V41EK1E,4.0,1.0
20,A1041LP2A97JRX,5.0,1.0
21,A1049KQJKU1W19,4.0,1.0
22,A105CP0HAG4ZTV,5.0,1.0
23,A1065304SY1HF8,5.0,1.0
24,A1068ZLTNP3M76,5.0,1.0
25,A106TIENB4CC0V,3.0,1.0
26,A1076F4XM2KJFX,5.0,1.0
27,A107NHE44173CD,5.0,1.0
28,A1081RZGRXYHCB,4.0,1.0
29,A108D2GI4W2KY2,5.0,1.0
30,A108VYV1YF2TI2,5.0,1.0
31,A109ME7C09HM2M,5.0,1.0
32,A109UZIIEKS24Z,4.0,1.0
33,A10A9NSYY4ANPO,5.0,1.0
34,A10AB54YNE5ION,5.0,1.0
35,A10B9W1LL75UFB,5.0,1.0
36,A10BGVTC5SD5YD,4.0,1.0
37,A10BMCAOYH7H4H,4.0,1.0
38,A10BQTB963ZR2D,5.0,1.0
39,A10BZ3O5AONNUT,4.0,1.0
40,A10C69K5LC30FK,5.0,1.0
41,A10CJ9ZDVXEIL6,5.0,1.0
42,A10CJINP7KBR4W,3.0,1.0
43,A10CPAH40P5M8O,4.0,1.0
44,A10CYG2VGL8WZO,5.0,1.0
45,A10DQWWRKGQ6FY,5.0,1.0
46,A10E7JC9XMXRI8,5.0,1.0
47,A10EEPF1O3BGDM,5.0,1.0
48,A10FP2595BNO30,5.0,1.0
49,A10FZJC3BNELDS,5.0,1.0
50,A10GE7ZL83K7QC,5.0,1.0
51,A10H1TUTQ46BJT,5.0,1.0
52,A10HS7EIODRIY8,5.0,1.0
53,A10HSJWAQA05IT,5.0,1.0
54,A10HUGT0HKQA9A,5.0,1.0
55,A10J7RBBUGKSDX,3.0,1.0
56,A10JE8HXBEEZ4C,5.0,1.0
57,A10JGZSZCAL0OI,5.0,1.0
58,A10JSEHTYAOOLB,5.0,1.0
59,A10K9VN36ZKAIQ,4.0,1.0
60,A10KA69V7ITA5S,5.0,1.0
61,A10KUNF4NNAF07,5.0,1.0
62,A10KVORU2FMSOG,4.33333333333,3.0
63,A10KYYFY422WCM,5.0,1.0
64,A10LTCU8CA35FJ,1.0,1.0
65,A10M2OT5N235YP,5.0,1.0
66,A10MQ6KS9F2IKH,5.0,1.0
67,A10NBGOUJOAJ4U,5.0,1.0
68,A10O7ZYYNUIWZ5,5.0,1.0
69,A10OOQ653VNEQH,5.0,1.0
70,A10PH8SABYKEEU,1.0,1.0
71,A10Q0KF1QUMZSV,5.0,1.0
72,A10Q0UV64NANCZ,5.0,1.0
73,A10QDC4R3SEKDX,5.0,1.0
74,A10QOYS129PDT3,3.0,1.0
75,A10R0B8E6TBRJF,5.0,1.0
76,A10RUPJMIKYTSQ,5.0,1.0
77,A10RXWVC5ZQP4M,4.0,1.0
78,A10S1B87R0MFQQ,5.0,1.0
79,A10SI4E7JUEES5,5.0,1.0
80,A10STIHLKC2VFH,5.0,1.0
81,A10SWVP3YWG0WK,5.0,1.0
82,A10T5N424NQ0A1,5.0,1.0
83,A10UPKN9G2QKVD,5.0,1.0
84,A10UVEGST0R23N,5.0,1.0
85,A10V536M9PX3WU,5.0,1.0
86,A10V7ACKAY6U7A,5.0,1.0
87,A10VPZUGZAO0GG,5.0,1.0
88,A10VYJYD22U1DA,4.0,1.0
89,A10WJ9BRMH4U1F,5.0,1.0
90,A10WU3NCGY6KAU,4.0,1.0
91,A10X3QD6WG6EIJ,5.0,1.0
92,A10XAQ2VGNGZMI,3.0,1.0
93,A10YPEY31B5EA9,5.0,1.0
94,A10Z3FTSP8X91M,3.0,1.0
95,A10ZDIN4YWI1FS,1.0,1.0
96,A1102R6WWBBNOT,5.0,1.0
97,A110W78PM5R6BN,2.0,1.0
98,A11111P8D1L4U1,1.0,1.0
99,A1112I9U71BGGN,5.0,1.0
100,A111FBVF0MOYS4,5.0,1.0
101,A1120R5PVYSXE4,5.0,1.0
102,A1122XA6O72D8O,5.0,1.0
103,A112GU7JZ9HTW0,5.0,1.0
104,A112IHNTM1YIJW,5.0,1.0
105,A112RDNJQ0A72R,4.0,1.0
106,A1131SLJQPTU63,5.0,1.0
107,A113JYQIJZYSZZ,5.0,1.0
108,A113P6RIUYRZTY,4.0,1.0
109,A114XLUHOCQRWS,4.0,1.0
110,A1150H7V3G8NFJ,4.0,1.0
111,A115OLA4DNDBQ6,5.0,1.0
112,A117HWFZ8CULJR,5.0,1.0
113,A117W7LOAU5F1N,3.0,1.0
114,A1183N3A2OFFF4,5.0,1.0
115,A118K9ZXU1SP03,4.0,1.0
116,A118KVWOU34EJH,2.0,1.0
117,A118S7PRIQKI6J,5.0,1.0
118,A119KHF09RKPXM,5.0,1.0
119,A11AD7DRRHIC0Y,5.0,1.0
120,A11AH4A5G6IS3Z,5.0,1.0
121,A11C0L95IB4Y2J,5.0,1.0
122,A11CRXS5XG4Q3W,5.0,1.0
123,A11D6HCNXZ46PI,1.0,1.0
124,A11DC9SV2XXBUT,4.0,1.0
125,A11DSVTOJO61A8,1.0,1.0
126,A11E6HLQUJ1S48,5.0,1.0
127,A11ED8O95W2103,4.0,1.0
128,A11EK3N0PM4U1P,5.0,1.0
129,A11EKA2YRF0QW7,5.0,1.0
130,A11EQ2TAGTPQDB,5.0,1.0
131,A11FX8HL2ANK6T,5.0,1.0
132,A11GGJWZJCGD5G,2.0,1.0
133,A11HTKXL8IWMXR,5.0,1.0
134,A11HXLQRAD91FH,4.0,1.0
135,A11I1LDSPJB6K0,5.0,1.0
136,A11I31PDER4WPF,5.0,1.0
137,A11IKZDAGX07PW,4.0,1.0
138,A11IW9T725884N,4.0,1.0
139,A11JEAS6ZANS16,5.0,1.0
140,A11JK37QRT13U4,5.0,1.0
141,A11LU0WXHN558Q,4.0,1.0
142,A11N155CW1UV02,2.0,1.0
143,A11NOWBXD39KUJ,5.0,1.0
144,A11NWCTRGXGC5G,5.0,1.0
145,A11O0QLKD910TU,5.0,1.0
146,A11O4Q7QMPLPZB,5.0,1.0
147,A11OFMAB6QDYKY,5.0,1.0
148,A11PRE9KPH1BS,5.0,1.0
149,A11PWB47P3YQXG,5.0,1.0
150,A11PYOYGM70DNY,5.0,1.0
151,A11RALJAR8FPV6,5.0,1.0
152,A11RG22Q5UXC4B,5.0,1.0
153,A11RGSNG3QI8W,5.0,1.0
154,A11RTR3WEPQ4SJ,5.0,1.0
155,A11S2NJBBWJD7L,4.0,1.0
156,A11S3I8JCVR3DD,5.0,1.0
157,A11SIIUKO0N9X5,4.0,1.0
158,A11SN48A1KJ36B,5.0,1.0
159,A11T0C3PPAYZ0N,5.0,1.0
160,A11T9M22K9892Y,5.0,1.0
161,A11TAYF0WKV1D4,5.0,1.0
162,A11UU9EQQ6EOVZ,2.0,1.0
163,A11UWNENP9S93E,5.0,1.0
164,A11V5FFW1TC4XS,5.0,1.0
165,A11VIFGR4W70YW,4.0,1.0
166,A11VN9A8LHANPK,2.0,1.0
167,A11VPGRQ23RDCV,5.0,1.0
168,A11VXJXFN45B1W,5.0,1.0
169,A11VZ5409YPJIR,3.0,1.0
170,A11WJTNP6VIOD6,5.0,1.0
171,A11WOHRY86BNRQ,3.0,1.0
172,A11Z3MKOVFWHZO,4.0,1.0
173,A11ZCNLHVYQQ5,5.0,1.0
174,A11ZGEHL0Z97CH,5.0,1.0
175,A11ZZHN4G7DMPL,1.0,1.0
176,A12009ZKGEDPZE,5.0,1.0
177,A120W4Q7X3EXIU,5.0,1.0
178,A1214MJUFMWVJN,5.0,2.0
179,A121IQBKGO48UG,5.0,1.0
180,A121XGPUFHVI4B,5.0,1.0
181,A121Y4MX4MCZ2K,5.0,1.0
182,A1221C9C0XJURE,5.0,1.0
183,A122FRFHPVJYEW,5.0,1.0
184,A122NOT4YRWYQ4,3.0,1.0
185,A122P6L3QZ7DJM,5.0,1.0
186,A122SDUX16VMN4,5.0,1.0
187,A122VVO38XXZIX,5.0,1.0
188,A1231FS549JDNV,2.0,1.0
189,A123879TGBH5LB,5.0,1.0
190,A124UGFUIOFGZX,5.0,1.0
191,A12506TM0N81H5,3.0,1.0
192,A1252OZ666VNRD,5.0,1.0
193,A125I4JZKQUXGQ,5.0,1.0
194,A126KX6FVI4T66,3.0,1.0
195,A1279QDCHNL552,3.0,1.0
196,A127DS0SR1A80A,5.0,1.0
197,A127LXDZHK40Z4,5.0,1.0
198,A127MJY0GQ060M,4.0,1.0
199,A127WTI9O4C5JC,4.0,1.0
200,A1298BZY33NTYV,5.0,1.0
201,A129CPR54JNYGM,5.0,1.0
202,A129NA8JD6AI4X,4.0,1.0
203,A12APNBQR92U9,5.0,1.0
204,A12AZ2VKN0XYPB,5.0,1.0
205,A12B163JC3EODP,3.0,1.0
206,A12BR1PIE6WTMR,5.0,1.0
207,A12CGOI8GW2R67,5.0,1.0
208,A12D4OVR9QVW03,5.0,1.0
209,A12DAQ23MYLNAN,5.0,1.0
210,A12DGAWHDUXCL9,3.0,1.0
211,A12DJ1784JEUOL,4.0,1.0
212,A12DJGCSYWRPYN,5.0,1.0
213,A12DMIXQY2ID4V,4.0,1.0
214,A12DO7F3TT123V,2.0,1.0
215,A12DP1N6H8L8G4,4.0,1.0
216,A12DVY5M0RV4AT,5.0,1.0
217,A12F7E3IIXSO0T,1.0,1.0
218,A12FKMK9QT555V,4.0,1.0
219,A12GM8TC686A8T,5.0,1.0
220,A12HLU6KS8YKS9,5.0,1.0
221,A12HUKBB9FXA3L,2.0,1.0
222,A12I1TLQN5O0YK,5.0,1.0
223,A12IDX4C58Q55S,2.0,1.0
224,A12IIG3QS5540Z,1.0,1.0
225,A12IKGICRWZB8V,4.0,1.0
226,A12IVL1M24W9HV,4.0,1.0
227,A12IY30327UNHZ,5.0,1.0
228,A12J0MK77TBIYB,4.0,1.0
229,A12KDD4ZA1QNLW,5.0,1.0
230,A12KHGVHRWMU4T,5.0,1.0
231,A12KQ25TQWNH1I,5.0,1.0
232,A12LZYMMTOL3LR,5.0,1.0
233,A12M00CDQTZ0JK,5.0,1.0
234,A12N9YU5K516JF,5.0,1.0
235,A12NMWWMFXMEJ5,5.0,1.0
236,A12NQD125RZI7K,1.0,1.0
237,A12ODTYYKLN0YP,5.0,1.0
238,A12P7B3YO1RKQG,2.0,1.0
239,A12P9KAAW8D9XW,4.0,1.0
240,A12PG3UE91ZKT5,4.0,1.0
241,A12PT4XP6AH993,1.0,1.0
242,A12PXY9X3JXB71,5.0,1.0
243,A12PZBN3YAGLOG,5.0,1.0
244,A12QG7ITEVCSJE,1.0,1.0
245,A12RJZVZQTTTWE,5.0,1.0
246,A12RLQYX0UW3H0,5.0,2.0
247,A12S7382MBDAG6,1.0,1.0
248,A12SMNXVNUCT29,5.0,1.0
249,A12SWT352HX984,4.0,1.0
250,A12UW5M48FQW6I,5.0,1.0
251,A12V1O2058QVBQ,5.0,1.0
252,A12VYXDJ5028IT,5.0,1.0
253,A12W8NRSYR593I,5.0,1.0
254,A12WY57FG9G7ND,5.0,1.0
255,A12WZRKEGC3DQQ,5.0,1.0
256,A12XFUHS9KNGP5,4.0,1.0
257,A12XONJWFB7CEV,5.0,1.0
258,A12Y211FLZBU62,5.0,1.0
259,A12Y9WT38JHSR6,4.0,1.0
260,A12YAYX0XMSAW4,5.0,1.0
261,A12YMK5HVYZD8L,5.0,1.0
262,A12Z1MTWDUXZF6,2.0,1.0
263,A12Z37NU7Q0DOY,5.0,1.0
264,A12Z8DSTI19P2N,5.0,1.0
265,A12ZMBP8ZUOKAF,5.0,2.0
266,A12ZVNZAASM2X2,4.0,1.0
267,A1303A40JJ6OB6,5.0,1.0
268,A130DKH97LIB7S,5.0,1.0
269,A130I590VP6FJS,1.0,1.0
270,A130JKOJD9G7B2,5.0,1.0
271,A130REERRU66S1,5.0,1.0
272,A130VWKVULJO21,5.0,1.0
273,A131CMY28CLKC3,1.0,1.0
274,A1324NVAUQHJG,4.0,1.0
275,A132ORQBRBKQZP,5.0,1.0
276,A132XIWFU1SJYZ,5.0,1.0
277,A132YN5549BZU6,5.0,1.0
278,A1332GXG5F3B0R,5.0,1.0
279,A1338LGPPTKVCK,5.0,1.0
280,A133R31GEKI3PU,5.0,1.0
281,A133Y06GBY5MMS,5.0,1.0
282,A13486Z7A9EMC3,5.0,1.0
283,A134MOCGX1WAEP,5.0,1.0
284,A135F7DCFEQCV0,5.0,1.0
285,A135Z9F4YGEARG,5.0,1.0
286,A13725PWDOC5VP,4.0,1.0
287,A1378ZJMWCTVT3,3.0,1.0
288,A1379LIYPH6WFH,5.0,1.0
289,A137N5OYTG3DVQ,5.0,1.0
290,A137O4YBFF4I1K,5.0,1.0
291,A138O71WK45VH4,5.0,1.0
292,A138Z5HK8H0CLR,3.0,1.0
293,A139CIBWAX0UQZ,5.0,1.0
294,A139HTYFXKY0EW,4.0,1.0
295,A139M2QQ5EUL00,5.0,1.0
296,A139OTTARHG7T2,5.0,1.0
297,A139PMOJN10V3J,4.0,1.0
298,A13ANBU7SFGLIK,5.0,1.0
299,A13B92MEBO2RZA,3.0,1.0
300,A13BJ2AWCYRI6W,5.0,1.0
301,A13BP4NJEBZGEY,3.0,2.0
302,A13C21OYVPJXA1,5.0,1.0
303,A13C70FDNESVBY,5.0,1.0
304,A13CB563KOZ523,5.0,1.0
305,A13CDQP6498JU6,5.0,1.0
306,A13CHOMBGTJ879,5.0,1.0
307,A13EOIU45C45N4,5.0,1.0
308,A13EZCJPGYMBND,5.0,1.0
309,A13F3JF4Y8NCI6,5.0,1.0
310,A13FDF4FL5UP6P,3.0,1.0
311,A13G0V4XWHERB0,5.0,1.0
312,A13G9JABX1HU0N,4.0,1.0
313,A13GBOIS77Z59A,5.0,1.0
314,A13GO22W1PZ0KF,5.0,1.0
315,A13GTKH8A8VZU2,5.0,1.0
316,A13HLFHKYYVSYY,5.0,1.0
317,A13IC8H9351C73,2.0,1.0
318,A13J39EKDAC6CB,5.0,1.0
319,A13K49XAB1CI7J,5.0,1.0
320,A13K5AFO8MG04T,5.0,1.0
321,A13KB4NCBPNOJP,5.0,1.0
322,A13KB83ABLHMJG,5.0,2.0
323,A13KBOS0NSMIH9,5.0,1.0
324,A13L3M85HQQKNM,4.0,1.0
325,A13M02NRGXY137,5.0,1.0
326,A13N3AOJY2KD10,5.0,1.0
327,A13NBDXM5UT8S4,5.0,1.0
328,A13NCV8WPPN42C,5.0,1.0
329,A13NWTPG31KP96,5.0,1.0
330,A13O9AXEMIXCI6,2.0,1.0
331,A13OB3DWIO8QUD,5.0,1.0
332,A13P74PIF1JL0L,5.0,1.0
333,A13PN0VFMXDSHS,5.0,1.0
334,A13PPQ2GI1IJYM,5.0,1.0
335,A13PRW21QPZTXA,4.0,1.0
336,A13QLHGVYX1IP,5.0,1.0
337,A13QQ5A5GZ7YLG,5.0,1.0
338,A13QWBCL82PHRX,5.0,1.0
339,A13QXD94QL5HG5,5.0,1.0
340,A13RI9NFZO5WY5,5.0,1.0
341,A13SEO4AC5TR0F,5.0,1.0
342,A13SFRAJKB6NMK,5.0,1.0
343,A13SWX424MX0WT,4.0,1.0
344,A13T8KJYTI4Y1B,5.0,2.0
345,A13TAHC34C5SWI,5.0,1.0
346,A13TUL4NGOTCYS,5.0,1.0
347,A13U0C8T5MJAI0,5.0,1.0
348,A13UHN0KOKV35J,5.0,1.0
349,A13UP78DHY39G6,5.0,1.0
350,A13WBKJT8D9BHI,5.0,1.0
351,A13WN5E4M0JXQI,5.0,1.0
352,A13WXHC70E395U,5.0,1.0
353,A13XPL9GW5BAPY,5.0,1.0
354,A13YMZEZZA3KJ,5.0,1.0
